"","id","vf_age","vf_party","vf_racename","vf_female","vf_black","vf_white","vf_hispanic","vf_vg_14","vf_vg_12","vf_vg_10","vf_democrat","vf_republican","miami_trans_law_t0","miami_trans_law2_t0","gender_norm_daugher_t0","gender_norm_looks_t0","gender_norm_rights_t0","gender_norms_sexchange_t0","gender_norms_moral_t0","gender_norms_abnormal_t0","gender_norm_trans_moral_wrong_t0","ssm_t0","therm_obama_t0","therm_gay_t0","therm_trans_t0","therm_marijuana_t0","therm_afams_t0","ideology_t0","religious_t0","respondent_t0","exposure_gay_t0","exposure_trans_t0","pid_t0","scale_for_blocking_t0","survey_language_t0","miami_trans_law_t1","miami_trans_law2_t1","therm_obama_t1","therm_trans_t1","therm_marijuana_t1","gender_norm_looks_t1","gender_norm_rights_t1","gender_norm_sexchange_t1","gender_norm_moral_t1","gender_norm_abnormal_t1","gender_norm_trans_moral_wrong_t1","respondent_t1","miami_trans_law_t2","miami_trans_law2_t2","therm_obama_t2","therm_jbush_t2","therm_trans_t2","therm_police_t2","therm_firefighters_t2","gender_norm_looks_t2","gender_norm_rights_t2","gender_norm_moral_t2","gender_norm_dress_t2","gender_norm_sexchange_t2","gender_norm_abnormal_t2","gender_norm_trans_moral_wrong_t2","trans_teacher_t2","trans_bathroom_t2","respondent_t2","miami_trans_law_withdef_t3","miami_trans_law2_withdef_t3","therm_obama_t3","therm_jbush_t3","therm_trans_t3","therm_police_t3","therm_firefighters_t3","gender_norm_looks_t3","gender_norm_rights_t3","gender_norm_moral_t3","gender_norm_dress_t3","gender_norm_sexchange_t3","gender_norm_abnormal_t3","gender_norm_trans_moral_wrong_t3","trans_teacher_t3","trans_bathroom_t3","trans_ad_displayed_t3","trans_law_post_ad_t3","respondent_t3","nfc_t3","miami_trans_law_withdef_t4","miami_trans_law2_withdef_t4","therm_obama_t4","therm_trans_t4","therm_mousavi_t4","gender_norm_looks_t4","gender_norm_rights_t4","gender_norm_moral_t4","gender_norm_dress_t4","gender_norm_sexchange_t4","gender_norm_abnormal_t4","gender_norm_trans_moral_wrong_t4","trans_teacher_t4","trans_bathroom_t4","respondent_t4","marijuana_pread1","marijuana_pread2","marijuana_postad","exp_actual_convo","contacted","survey_language_es","sdo_scale","treat_ind","canvass_recycling_rating","canvass_trans_ratingstart","canvass_trans_ratingsecond","canvass_trans_ratingend","canvass_minutes","canvasser_experience","canvasser_trans","canvasser_id","hh_id","block_ind","cluster_level_t0_scale_mean","vf_independent","all.dvs.t1","all.dvs.t2","all.dvs.t3","all.dvs.t4","trans.tolerance.dv.t0","trans.tolerance.dv.t1","trans.tolerance.dv.t2","trans.tolerance.dv.t3","trans.tolerance.dv.t4","miami_trans_law_t0_avg","miami_trans_law_t1_avg","miami_trans_law_t2_avg","miami_trans_law_t3_avg","miami_trans_law_t4_avg","gender_nonconformity_t0","gender_nonconformity_t1","gender_nonconformity_t2","gender_nonconformity_t3","gender_nonconformity_t4","treatment.delivered","t1.resid","transformed.outcome"
"66639",55214,63,"N","African American",1,1,0,0,1,1,1,0,0,0,0,1,-1,-1,-1,-1,-1,1,-2,75,13,10,13,76,0,3,1,1,0,3,-1.14744210243225,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Trans-Equality",1,0,1.32628166675568,1,"",NA,NA,NA,1,"No",0,3,"june20_11514","june20_29",-1.14744210243225,1,NA,NA,NA,NA,-1.3170457120407,NA,NA,NA,NA,0,NA,NA,NA,NA,-0.413220837014379,NA,NA,NA,NA,FALSE,NA,NA
"66640",1778,19,"D","African American",1,1,0,0,0,0,0,1,0,0,2,1,0,-1,1,1,0,-1,2,89,65,66,64,100,0,3,1,1,0,3,0.461628615856171,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Recycling",1,0,-0.402237474918365,0,"Against",NA,NA,NA,0,"No",0,43,"june20_11549","june20_286",-0.0529594421386719,0,NA,NA,NA,NA,0.607790723844227,NA,NA,NA,NA,1,NA,NA,NA,NA,0.0538084277202204,NA,NA,NA,NA,FALSE,NA,NA
"66642",56471,28,"N","African American",1,1,0,0,0,1,0,0,0,-2,-2,0,-1,-1,-1,-1,-1,1,-2,100,15,14,50,78,0,1,1,1,0,0,-1.05914843082428,"",0,0,81,19,61,-2,-1,-1,-2,-1,-2,1,0,0,83,50,27,83,90,-2,-1,-1,-2,-1,-1,1,0,0,1,0,0,76,50,17,50,50,-2,-2,-1,-2,-1,-1,-1,-1,0,"Yes, I could see and hear the ad",0,1,-0.296329826116562,0,0,81,22,32,-1,-1,-1,-1,0,-1,-1,-1,0,1,0,1,0,"Trans-Equality",1,0,-0.726576924324036,1,"",4,8,8,15,"No",1,44,"june20_11554","june20_34",-1.05914843082428,1,-1.63104308472557,-0.798327167578628,-1.01531898372273,-0.907980958186071,-1.27099687785371,-1.67822869766943,-0.462337004048483,-0.935633931720794,-0.816530509345102,-2,0,0,0,0,-0.413220837014379,-0.816202734445365,-0.877464159815032,-1.22389686690383,-0.206026197278334,TRUE,-0.453103620374705,-0.906207240749409
"66645",14848,58,"D","African American",1,1,0,0,1,0,0,1,0,2,3,0,0,1,0,1,0,0,3,50,50,50,50,50,2,0,1,0,1,3,0.252814114093781,"",2,2,50,50,50,1,0,1,1,1,1,1,2,2,42,31,50,13,71,1,1,1,2,1,0,1,2,1,1,1,2,50,31,50,50,50,1,1,1,1,1,1,1,-1,1,"",0,1,-0.314975619316101,2,2,50,50,50,2,2,2,2,2,2,2,-2,2,1,1,2,1,"Recycling",1,0,1.37442350387573,0,"Against",NA,NA,NA,1,"No",0,43,"june20_11578","june20_307",0.636726140975952,0,0.673060275127777,0.531788311341375,0.628553910626755,1.26129067157459,0.170834111194257,0.755395110181884,0.849572962273932,0.614252637476777,1.19344060500326,2.5,2,2,1.5,2,1.04143583876196,1.0006274528355,1.89338651616481,1.56251677732952,2.71756630892552,FALSE,0.389651630489064,-0.779303260978127
"66646",44547,22,"N","African American",0,1,0,0,1,0,0,0,0,3,3,0,2,2,2,2,2,-2,3,50,50,50,50,50,0,0,1,1,1,0,1.02063810825348,"",3,3,50,50,61,1,0,2,1,2,2,1,3,3,50,50,50,38,50,1,1,1,1,2,1,1,1,1,1,3,3,45,50,50,50,50,1,0,1,1,1,1,1,2,1,"Yes, I could see and hear the ad",2,1,-0.493952691555023,3,3,50,50,50,1,1,1,1,1,1,1,1,1,1,1,2,1,"Recycling",1,0,0.447174578905106,0,"Against",NA,NA,NA,2,"No",0,43,"june20_11578","june20_307",0.636726140975952,1,1.38337605892134,1.04526157340957,0.927796470553001,0.879551336671841,1.45949433938982,1.3818989718516,1.00312958919041,1.03675856033156,0.863127293321139,3,3,3,3,3,2.46930807375203,1.0006274528355,1.57715851433532,1.25356446446583,1.74303547352424,FALSE,0.339362156333077,-0.678724312666155
"66650",19868,40,"D","Hispanic",0,0,0,1,1,1,0,1,0,3,2,1,-1,0,1,1,1,0,3,100,80,60,60,89,0,0,1,1,1,2,0.739206731319427,"",0,0,50,50,50,0,0,0,0,0,0,1,3,3,100,35,50,50,50,0,0,0,0,0,0,0,0,0,1,0,0,50,50,50,50,50,0,0,0,0,0,0,0,0,0,"Yes, I could see and hear the ad",1,1,-0.682037174701691,0,0,50,50,50,-1,-1,0,-1,1,0,-1,0,-1,1,1,0,0,"Recycling",1,0,-0.896892905235291,0,"In Favor",NA,NA,NA,3,"No",0,43,"june20_11600","june20_342",0.161447152495384,0,-0.439186914966468,0.316332557638775,-0.233397028950038,-0.295274236701013,0.802599188337112,-0.0961481004795024,-0.0213130465999309,0.0242335012548508,-0.180584467873686,2.5,0,3,0,0,0.0805928685064935,0.559228919758662,0.660618186367629,0.633712229251738,-0.206026197278334,FALSE,-0.837070750894994,1.67414150178999
"66656",24523,25,"D","African American",1,1,0,0,0,1,1,1,0,3,3,0,0,0,0,0,0,0,1,50,51,50,50,49,0,0,1,1,1,2,0.145074188709259,"",2,3,50,50,50,-2,-2,0,0,0,0,1,3,3,50,50,50,50,50,-2,-2,0,-1,1,0,0,1,-2,1,1,3,50,50,50,50,90,-2,-1,0,-1,1,0,0,0,0,"Yes, I could see and hear the ad",1,1,0.792713403701782,1,3,50,50,50,-2,-2,0,-2,1,0,1,0,0,1,0,3,0,"Recycling",1,0,-6.6307687118794e-10,0,"In Favor",NA,NA,NA,3,"No",0,43,"june20_11661","june20_149",0.145074188709259,0,0.160466882658202,0.453806671936194,0.30621635640512,0.399731597281869,-0.0845401336505679,-0.0961481004795024,-0.0351056956046811,0.166558363030575,0.277001933956603,3,2.5,3,2,2,0.547622133241092,-1.30883732249572,-0.856234467738273,-0.606306188922316,-1.18055703267962,FALSE,-0.258150551015535,0.51630110203107
"66657",5242,23,"D","African American",1,1,0,0,0,1,0,1,0,-2,3,0,1,-2,-1,1,1,-1,2,100,100,100,49,100,3,0,1,1,0,3,0.954482734203339,"",0,0,50,50,50,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,100,50,100,50,50,0,-1,1,0,1,1,1,2,1,"Yes, I could see and hear the ad",2,1,-0.989823043346405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,"Trans-Equality",1,0,-0.856932401657104,1,"",10,10,10,8,"No",0,43,"june20_11664","june20_201",0.954482734203339,0,-0.439186914966468,NA,1.06125597157175,NA,0.757564978403057,-0.0961481004795024,NA,1.37482265378681,NA,0.5,0,NA,2,NA,0.0270239869339474,0.559228919758662,NA,0.324759916388048,NA,TRUE,-0.796474634585015,-1.59294926917003
"66659",22641,41,"D","African American",1,1,0,0,1,1,1,1,0,2,2,-2,-1,-1,1,1,-2,-1,-3,100,21,50,50,90,0,2,1,1,1,3,-0.0622336752712727,"",2,2,100,65,92,0,-1,1,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,-2,96,0,8,50,65,-1,-1,0,-1,1,-2,-1,-2,0,"Yes, I could see and hear the ad",-2,1,-0.486071079969406,2,1,100,50,50,-1,1,-1,-1,1,-2,0,0,0,1,0,3,0,"Recycling",1,0,-0.557232141494751,0,"Against",NA,NA,NA,0,"No",0,4,"june20_11716","june20_122",-0.0622336752712727,0,0.287577511966897,NA,-0.809952960626035,-0.281984527679299,-0.104168044450498,0.223331852035167,NA,-0.861470207406538,-0.340403081723601,2,2,NA,0,1.5,-0.413220837014379,0.0665943317083116,NA,-0.295092318826046,0.426614378085421,FALSE,0.335215569704586,-0.670431139409172
"66665",33130,58,"R","Hispanic",0,0,0,1,0,1,0,0,1,-2,-1,1,-2,-1,0,-2,-2,1,-1,50,60,20,90,60,0,1,1,1,0,0,-1.09193015098572,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Trans-Equality",1,0,-0.788846671581268,1,"",5,5,5,0,"No",1,5,"june20_1178","june20_333",-0.470571845769882,0,NA,NA,NA,NA,-1.46841831128942,NA,NA,NA,NA,-1.5,NA,NA,NA,NA,-0.880250101748978,NA,NA,NA,NA,TRUE,NA,NA
