"","id","vf_age","vf_party","vf_racename","vf_female","vf_black","vf_white","vf_hispanic","vf_vg_14","vf_vg_12","vf_vg_10","vf_democrat","vf_republican","miami_trans_law_t0","miami_trans_law2_t0","gender_norm_daugher_t0","gender_norm_looks_t0","gender_norm_rights_t0","gender_norms_sexchange_t0","gender_norms_moral_t0","gender_norms_abnormal_t0","gender_norm_trans_moral_wrong_t0","ssm_t0","therm_obama_t0","therm_gay_t0","therm_trans_t0","therm_marijuana_t0","therm_afams_t0","ideology_t0","religious_t0","respondent_t0","exposure_gay_t0","exposure_trans_t0","pid_t0","scale_for_blocking_t0","survey_language_t0","miami_trans_law_t1","miami_trans_law2_t1","therm_obama_t1","therm_trans_t1","therm_marijuana_t1","gender_norm_looks_t1","gender_norm_rights_t1","gender_norm_sexchange_t1","gender_norm_moral_t1","gender_norm_abnormal_t1","gender_norm_trans_moral_wrong_t1","respondent_t1","miami_trans_law_t2","miami_trans_law2_t2","therm_obama_t2","therm_jbush_t2","therm_trans_t2","therm_police_t2","therm_firefighters_t2","gender_norm_looks_t2","gender_norm_rights_t2","gender_norm_moral_t2","gender_norm_dress_t2","gender_norm_sexchange_t2","gender_norm_abnormal_t2","gender_norm_trans_moral_wrong_t2","trans_teacher_t2","trans_bathroom_t2","respondent_t2","miami_trans_law_withdef_t3","miami_trans_law2_withdef_t3","therm_obama_t3","therm_jbush_t3","therm_trans_t3","therm_police_t3","therm_firefighters_t3","gender_norm_looks_t3","gender_norm_rights_t3","gender_norm_moral_t3","gender_norm_dress_t3","gender_norm_sexchange_t3","gender_norm_abnormal_t3","gender_norm_trans_moral_wrong_t3","trans_teacher_t3","trans_bathroom_t3","trans_ad_displayed_t3","trans_law_post_ad_t3","respondent_t3","nfc_t3","miami_trans_law_withdef_t4","miami_trans_law2_withdef_t4","therm_obama_t4","therm_trans_t4","therm_mousavi_t4","gender_norm_looks_t4","gender_norm_rights_t4","gender_norm_moral_t4","gender_norm_dress_t4","gender_norm_sexchange_t4","gender_norm_abnormal_t4","gender_norm_trans_moral_wrong_t4","trans_teacher_t4","trans_bathroom_t4","respondent_t4","marijuana_pread1","marijuana_pread2","marijuana_postad","exp_actual_convo","contacted","survey_language_es","sdo_scale","treat_ind","canvass_recycling_rating","canvass_trans_ratingstart","canvass_trans_ratingsecond","canvass_trans_ratingend","canvass_minutes","canvasser_experience","canvasser_trans","canvasser_id","hh_id","block_ind","cluster_level_t0_scale_mean","vf_independent","all.dvs.t1","all.dvs.t2","all.dvs.t3","all.dvs.t4","trans.tolerance.dv.t0","trans.tolerance.dv.t1","trans.tolerance.dv.t2","trans.tolerance.dv.t3","trans.tolerance.dv.t4","miami_trans_law_t0_avg","miami_trans_law_t1_avg","miami_trans_law_t2_avg","miami_trans_law_t3_avg","miami_trans_law_t4_avg","gender_nonconformity_t0","gender_nonconformity_t1","gender_nonconformity_t2","gender_nonconformity_t3","gender_nonconformity_t4","treatment.delivered","t1.resid","transformed.outcome"
"66849",7935,37,"R","Caucasian",1,0,1,0,0,1,1,0,1,0,0,0,-2,-2,0,0,0,0,2,1,50,50,91,93,0,4,1,1,1,-1,-0.307571709156036,"",-1,-1,0,45,92,-2,-1,0,-1,-1,0,1,0,1,19,50,48,30,70,-2,-2,1,-1,0,0,0,-2,-2,1,1,0,16,50,50,16,90,-2,-1,-1,-1,0,-1,-1,-1,1,"",0,1,0.99037367105484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,1,"Recycling",1,0,-6.6307687118794e-10,0,"",NA,NA,NA,NA,"",NA,NA,"june20_15620","june20_94",-0.307571709156036,0,-1.04511010796279,-0.107448846393614,-0.556422303579081,NA,-0.0845401336505679,-0.589386163680719,-0.444451669135656,-0.435242148101341,NA,0,-1,0.5,0.5,NA,-1.37406380726985,-0.816202734445365,-0.856234467738273,-0.606306188922316,NA,FALSE,-0.521137076375049,1.0422741527501
"66850",43751,62,"D","Hispanic",0,0,0,1,1,1,1,1,0,2,3,-1,0,-1,1,1,1,-1,2,100,50,50,50,81,0,0,1,1,0,2,0.593141257762909,"",2,2,90,60,50,1,-1,1,-1,-1,-1,1,3,2,90,50,50,0,50,1,2,1,2,1,1,-1,2,0,1,2,2,50,40,80,20,90,0,1,-1,1,1,1,-1,2,1,"",0,1,1.23257172107697,2,2,100,72,50,1,-1,1,1,1,1,1,1,0,1,0,-1,0,"Trans-Equality",1,1,-0.905874133110046,1,"",NA,NA,NA,0,"No",0,31,"june20_15663","june20_177",0.593141257762909,0,-0.237497837740888,0.487591529920327,0.36721535718255,0.823304496479259,0.687477102869628,-0.489731948108207,0.543807629568099,0.634753377484704,0.865680194405759,2.5,2,2.5,2,2,0.0538084277202204,0.50799286478515,2.18838482591753,1.25130290723325,1.11039489816048,FALSE,-1.49847357311556,-2.99694714623112
"66851",33194,51,"D","Hispanic",1,0,0,1,0,0,0,1,0,3,3,1,1,-2,0,0,0,0,-1,51,50,50,49,50,0,3,1,1,0,0,-0.0104712648317218,"",0,2,50,41,42,0,-1,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,0,2,50,50,50,0,-2,0,0,0,1,1,1,1,1,NA,NA,NA,"Trans-Equality",1,0,-0.235650777816772,1,"",9,9,9,4,"No",1,22,"june20_15687","june20_126",-0.0104712648317218,0,0.0685257044735121,NA,NA,0.19936067512601,-0.0845401336505679,0.26467631659163,NA,NA,0.564747066061654,3,1,NA,NA,1,0.0270239869339474,0.0665943317083116,NA,NA,0.135864062759196,TRUE,0.255058181517008,0.510116363034016
"66852",37932,42,"D","African American",1,1,0,0,1,1,0,1,0,3,2,0,-2,0,0,0,-1,0,2,100,50,50,100,100,0,2,1,1,0,3,0.122182548046112,"",3,3,50,51,50,-2,0,2,0,0,0,1,3,3,100,50,50,50,50,-1,-1,-1,-1,0,0,0,1,-1,1,2,2,100,0,37,50,50,-1,-1,-1,-1,0,-1,-1,-2,-2,"Yes, I could see and hear the ad",-3,1,1.23257172107697,3,3,100,28,0,-1,-2,-1,-1,0,-1,0,1,-1,1,0,3,1,"Recycling",1,0,-0.288823395967484,0,"Against",NA,NA,NA,0,"No",1,44,"june20_1570","june20_289",0.0278564803302288,0,0.569382831292752,0.166871302054167,-0.343119806332826,-0.127250987379304,-0.348421849423943,0.27923679561812,-0.182300387085695,-1.06880798050776,-0.478631576552626,2.5,3,3,2,3,-0.386436396228105,-0.323568146395015,-0.255922141600065,-0.295092318826046,-0.522346484960212,FALSE,0.367277055509286,-0.734554111018572
"66853",54073,51,"D","African American",0,1,0,0,1,1,1,1,0,3,2,0,0,0,0,0,0,0,0,100,30,13,72,100,0,0,1,1,0,3,-0.0664695873856544,"",2,2,100,0,50,-2,-2,-2,-2,-2,-2,1,-2,-2,100,0,0,0,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-3,-3,50,0,0,0,94,-2,-2,-2,-2,-2,-2,-2,-2,2,"Yes, I could see and hear the ad",-3,1,0.594368696212769,-3,-3,50,0,50,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,3,1,"Recycling",1,0,-0.780929088592529,0,"In Favor",NA,NA,NA,0,"No",1,44,"june20_1570","june20_289",0.0278564803302288,0,-1.6054091893494,-2.32785866396586,-2.2897949688016,-2.37110199338808,-0.510491849880259,-2.25798156033038,-2.12955410665174,-1.51743161446423,-2.1441503015595,2.5,2,-2,-3,-3,0.547622133241092,-1.30883732249572,-1.17246246956776,-1.22389686690383,-1.18055703267962,FALSE,-1.937942618248,3.875885236496
"66858",31877,45,"D","African American",1,1,0,0,0,1,1,1,0,-2,2,0,1,0,2,1,1,0,2,100,50,50,0,100,1,4,1,1,0,3,0.447814077138901,"",-2,2,100,50,50,1,1,1,1,1,1,1,1,2,100,0,50,70,100,0,0,0,0,1,0,0,0,0,1,1,2,100,50,64,88,100,0,-1,0,0,1,1,1,0,0,"Yes, I could see and hear the ad",1,1,0.397163391113281,2,0,100,85,62,0,0,0,0,1,1,0,0,0,1,0,0,0,"Trans-Equality",1,0,-0.661341488361359,1,"",10,6,7,19,"No",0,4,"june20_15800","june20_343",0.210925117135048,0,0.210970657324885,0.118673029802406,0.59192503087962,0.41766521131373,0.940238378771624,0.755395110181884,0.114881928200538,0.572437283455033,0.50239192779274,0,0,1.5,1.5,1,1.01465139797569,1.49326204088585,0.660618186367629,0.324759916388048,0.768504638122952,TRUE,0.0920087146135345,0.184017429227069
"66861",23235,64,"Other Party","Caucasian",0,0,1,0,1,1,1,0,0,2,2,-1,0,2,1,2,1,-1,2,61,50,50,31,50,0,0,1,1,0,1,0.561056971549988,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,50,0,50,44,43,0,1,0,1,1,1,2,1,1,1,3,3,72,0,50,32,50,1,1,1,1,1,1,1,1,1,"Yes, I could see and hear the ad",1,1,0.874408662319183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"Trans-Equality",1,0,0.323565781116486,1,"",NA,NA,NA,2,"Yes",1,42,"june20_15834","june20_318",1.22560787200928,0,NA,0.911418788269233,0.927796470553001,NA,0.942851347714453,NA,0.87042020248733,0.895923252713298,NA,2,NA,3,3,NA,1.53524954428284,NA,1.27184449794984,1.56251677732952,NA,FALSE,NA,NA
"66862",55858,40,"D","African American",1,1,0,0,0,1,0,1,0,1,-1,1,0,1,0,0,1,0,-1,83,50,50,50,100,1,2,1,1,0,2,-0.113485045731068,"",0,0,50,50,50,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Recycling",1,0,1.05201971530914,0,"Against",NA,NA,NA,1,"No",0,52,"june20_1584","june20_113",-0.113485045731068,0,-0.439186914966468,NA,NA,NA,0.179341582122808,-0.0961481004795024,NA,NA,NA,0,0,NA,NA,NA,1.04143583876196,0.559228919758662,NA,NA,NA,FALSE,-0.0883407214915737,0.176681442983147
"66864",10642,62,"D","African American",0,1,0,0,1,1,1,1,0,3,3,0,-1,-2,0,-1,0,1,0,93,50,50,50,100,0,1,1,1,0,0,-0.0168235115706921,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Trans-Equality",1,0,-0.625429749488831,1,"",10,10,10,0,"No",0,4,"june20_15895","june20_125",-0.0168235115706921,0,NA,NA,NA,NA,-0.339914378495393,NA,NA,NA,NA,3,NA,NA,NA,NA,-0.907034542535251,NA,NA,NA,NA,TRUE,NA,NA
"66868",4376,53,"D","African American",1,1,0,0,1,1,1,1,0,2,0,0,-2,-2,2,0,0,0,0,100,100,50,50,100,-2,4,1,1,0,3,-0.0502424500882626,"",3,0,100,99,50,-2,-2,2,0,-2,-2,1,3,3,100,50,50,50,100,-2,-2,0,-2,2,-2,0,0,0,1,0,3,50,50,50,50,50,0,0,0,0,2,-1,0,0,0,"",0,1,0.825064361095428,0,3,100,50,50,-2,-2,-2,-2,2,-2,0,0,0,1,0,3,0,"Trans-Equality",1,0,-0.143906384706497,1,"In Favor",10,NA,10,0,"No",1,40,"june20_15978","june20_123",-0.0502424500882626,0,-0.0999245656723296,0.288426892534294,0.204015177844858,-0.268441213880331,0.420982418153424,-0.167163815407283,-0.0603461594636398,0.157720082365104,-0.340345341057716,1,1.5,3,1.5,1.5,-1.37406380726985,-1.30883732249572,-1.17246246956776,0.633712229251738,-1.18055703267962,TRUE,-0.137397387787782,-0.274794775575564
"66873",2354,65,"D","African American",1,1,0,0,1,1,1,1,0,2,1,1,-2,-2,-1,-2,-2,2,-3,50,50,50,0,50,0,4,1,1,0,3,-1.12641000747681,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Trans-Equality",1,0,-0.484912902116776,1,"",6,10,10,20,"No",0,46,"june20_16082","june20_30",-1.12641000747681,0,NA,NA,NA,NA,-1.37581333078896,NA,NA,NA,NA,1.5,NA,NA,NA,NA,-1.37406380726985,NA,NA,NA,NA,TRUE,NA,NA
"66878",43089,54,"N","Caucasian",1,0,1,0,1,1,1,0,0,3,3,-1,1,1,2,1,1,-1,2,73,96,96,65,96,0,1,1,1,0,0,1.32062482833862,"",3,3,80,96,50,1,1,1,1,1,1,1,3,3,81,30,96,95,95,1,1,1,1,2,2,1,1,1,1,3,3,50,45,96,96,50,2,2,1,2,2,1,1,1,1,"Yes, I could see and hear the ad",0,1,-0.879242539405823,2,2,87,96,50,1,1,1,1,1,1,1,1,0,1,0,3,0,"Recycling",1,0,-0.826471090316772,0,"In Favor",NA,NA,NA,0,"Yes",0,50,"june20_16173","june20_318",1.26173162460327,1,1.25376621696385,1.50803530118734,1.37380265394443,0.978067118764914,1.46979997192205,1.17744238562774,1.46404719944903,1.34926708046785,1.02243635044333,3,3,3,3,2,1.50846510349656,1.49326204088585,1.57715851433532,2.49132132540731,1.74303547352424,FALSE,-0.223740058394321,0.447480116788642
"66879",50505,52,"D","African American",1,1,0,0,1,1,1,1,0,0,0,-1,0,1,1,1,1,0,-1,100,50,50,50,50,0,5,1,1,0,3,-0.0899938717484474,"",2,0,100,70,50,0,0,0,0,0,0,1,0,0,100,40,50,50,50,-1,0,0,0,-1,0,0,0,0,1,0,0,100,41,50,38,50,0,0,0,0,1,0,0,0,0,"Yes, I could see and hear the ad",0,1,-0.303399384021759,0,0,100,50,50,0,0,0,0,1,0,0,0,0,1,0,1,0,"Recycling",1,0,0.197543531656265,0,"In Favor",NA,NA,NA,4,"No",0,38,"june20_162","june20_118",-0.0899938717484474,0,-0.0593099867269298,-0.494858159421995,-0.0939199241755536,-0.14757265332896,0.687477102869628,0.0873507149317386,-0.1575080214004,0.166558363030575,0.118778854016368,0,1,0,0,0,1.04143583876196,0.559228919758662,0.355304169982147,0.633712229251738,0.768504638122952,FALSE,-0.105477573193006,0.210955146386013
"66886",44698,64,"D","Caucasian",1,0,1,0,1,1,1,1,0,3,3,-2,1,-1,1,1,1,-1,3,100,99,50,50,100,1,0,1,1,1,2,1.2574075460434,"",2,2,100,50,50,1,0,1,0,0,1,1,2,2,100,50,50,100,100,1,-1,1,0,2,1,1,1,1,1,2,2,84,50,50,71,82,1,0,1,0,1,1,1,1,1,"Yes, I could see and hear the ad",2,1,0.328771680593491,3,3,50,69,50,1,1,1,1,2,1,1,1,1,1,0,1,1,"Recycling",1,0,-0.956087946891785,0,"In Favor",NA,NA,NA,2,"No",0,49,"june20_16266","june20_217",1.2574075460434,0,0.342737179324444,0.820689372488455,0.728072190466368,1.14913740003433,0.687477102869628,0.308031750833477,1.00312958919041,0.895923252713298,1.13644490081357,3,2,2,2,3,0.520837692454819,1.0006274528355,0.670933893000384,0.944926099348009,1.74303547352424,FALSE,-0.721983437600505,1.44396687520101
"66887",62390,24,"D","African American",1,1,0,0,0,1,0,1,0,3,3,-1,1,2,2,1,2,-1,3,100,90,86,50,100,2,1,1,1,1,3,1.41395390033722,"",3,3,100,100,50,2,1,-2,2,2,2,1,3,3,100,30,100,50,100,2,2,2,2,2,2,2,2,2,1,3,3,50,35,100,50,100,2,2,2,2,2,2,2,2,2,"Yes, I could see and hear the ad",2,1,0.464480578899384,3,3,50,60,50,-1,-1,1,-1,2,0,1,2,1,1,0,2,0,"Recycling",1,0,-0.806145071983337,0,"Against",NA,NA,NA,4,"No",0,55,"june20_16291","june20_346",0.369240790605545,0,1.34709181977494,1.83766277463782,1.82300091090152,0.946294107492291,1.61855960222794,1.33326544871725,2.08692801345187,2.10567709762699,1.06346452397423,3,3,3,3,3,2.00227880901744,1.93466057396269,2.49369884230302,2.49132132540731,-0.206026197278334,FALSE,-0.0242954886288637,0.0485909772577273
"66893",66083,56,"D","African American",1,1,0,0,1,1,1,1,0,1,2,0,0,-1,0,0,0,0,-1,92,50,50,50,100,0,1,1,1,0,0,-0.000424889120040461,"",2,2,50,50,50,0,-1,1,0,0,-1,1,0,0,50,50,50,50,50,0,0,0,0,0,0,0,0,0,1,-1,2,49,50,50,50,50,0,0,0,0,1,0,0,0,-1,"Yes, I could see and hear the ad",-1,1,-0.747058808803558,2,2,80,50,50,0,0,0,0,1,0,0,1,-1,1,1,1,1,"Trans-Equality",1,0,-0.254948824644089,1,"",NA,NA,NA,0,"No",1,44,"june20_1633","june20_128",-0.000424889120040461,0,0.0184091983933993,-0.357384045124575,0.0069737964788747,0.248652501246573,-0.0845401336505679,-0.134117996465422,-0.0213130465999309,0.03161374286731,0.118452139962883,1.5,2,0,0.5,2,0.0538084277202204,0.0665943317083116,0.660618186367629,0.633712229251738,0.768504638122952,FALSE,-0.033411168603871,-0.0668223372077419
"66894",21913,25,"N","Hispanic",1,0,0,1,0,1,0,0,0,3,3,-1,0,-1,2,1,1,-1,2,92,85,85,76,85,2,0,1,1,0,3,1.13547730445862,"",0,0,50,50,50,0,0,0,0,0,0,1,2,2,100,50,100,100,100,1,0,1,1,2,2,0,1,1,1,2,2,50,0,50,50,50,1,-1,1,1,2,2,2,1,1,"",0,1,0.0677839294075966,3,2,100,100,50,1,-1,1,1,1,2,1,1,0,1,0,2,0,"Recycling",1,0,-0.750607788562775,0,"In Favor",NA,NA,NA,1,"No",0,39,"june20_16347","june20_212",1.13547730445862,1,-0.439186914966468,1.15744414864872,1.16017251125287,1.24603573064304,1.34316567790782,-0.0961481004795024,1.3319328022561,1.34946908874601,1.20357272267117,3,0,2,2,2.5,0.0538084277202204,0.559228919758662,1.2821602045826,0.944612151602142,1.11039489816048,FALSE,-1.28641730867895,2.5728346173579
"66896",14462,55,"D","Hispanic",1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-3,0,1,0,0,17,-2,1,1,1,0,2,-0.994363784790039,"",0,0,63,0,0,0,0,0,0,0,0,1,3,0,100,7,50,50,50,-1,-2,-2,-2,0,0,-1,-2,2,1,0,-1,100,0,2,80,100,2,2,2,2,0,2,-2,-2,-2,"",0,1,-0.00652592768892646,1,-1,50,50,23,-2,0,-1,-2,0,-1,-1,-1,-1,1,0,1,0,"Recycling",1,1,-6.6307687118794e-10,0,"",NA,NA,NA,3,"No",0,35,"june20_16418","june20_40",-0.994363784790039,0,-0.811267213311696,-0.477714817397467,-0.410225200188433,-0.730802078182716,-0.660150560987988,-0.554895139007605,-0.478666294432339,-0.584929287486018,-0.77478856925109,0,0,1.5,-0.5,0,0.547622133241092,0.559228919758662,-0.867148453182277,2.49132132540731,-0.547916457315864,FALSE,-0.398680686794751,0.797361373589503
"66901",39375,59,"R","Caucasian",1,0,1,0,1,1,1,0,1,0,3,1,1,0,1,0,0,-1,0,2,76,50,38,63,0,0,1,1,0,-2,0.125250339508057,"",3,3,0,50,50,1,1,2,1,0,1,1,3,3,0,50,50,100,100,1,0,1,1,2,1,1,1,1,1,3,3,0,50,49,50,83,1,0,0,0,1,0,0,1,1,"Yes, I could see and hear the ad",-1,1,0.899657428264618,3,3,50,50,29,1,0,1,0,1,1,1,1,1,1,0,3,0,"Trans-Equality",1,0,1.00058794021606,1,"",10,10,10,13,"No",0,35,"june20_16526","june20_145",0.125250339508057,0,0.887644554733586,1.04526157340957,0.498589240462238,0.879551336671841,0.168221142251428,0.716176077488673,1.00312958919041,0.435577008942996,0.863127293321139,1.5,3,3,3,3,1.01465139797569,1.49326204088585,1.2821602045826,0.944926099348009,1.08744003423057,TRUE,0.340786354767204,0.681572709534408
"66908",8401,56,"N","Hispanic",0,0,0,1,1,1,1,0,0,3,3,2,0,0,0,0,2,-2,3,100,72,58,50,94,0,1,1,1,0,1,0.811135232448578,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Trans-Equality",1,0,-0.836476624011993,1,"",NA,NA,NA,NA,"",NA,NA,"june20_16625","june20_192",0.811135232448578,1,NA,NA,NA,NA,0.53532096627017,NA,NA,NA,NA,3,NA,NA,NA,NA,0.547622133241092,NA,NA,NA,NA,FALSE,NA,NA
"66910",1390,66,"N","Hispanic",1,0,0,1,0,1,1,0,0,3,2,0,0,0,0,0,0,0,2,50,62,50,0,50,0,3,1,1,0,2,0.119691804051399,"",0,3,50,50,1,-2,-2,2,0,2,0,1,2,3,100,50,50,50,50,-1,-2,0,-2,2,1,0,2,2,1,2,3,97,0,50,50,100,-2,-2,0,0,2,1,1,2,0,"",0,1,0.445433139801025,0,3,50,100,50,-2,-2,0,-2,2,0,-2,2,0,1,0,0,0,"Recycling",1,1,-6.6307687118794e-10,0,"Against",NA,NA,NA,0,"Yes",0,29,"june20_16704","june20_299",0.263929784297943,1,0.54894152569591,0.632146291870602,0.837834957031231,0.328747098668241,-0.0845401336505679,0.714709875561041,0.971825695387484,0.901774814299809,0.559754058969519,2.5,1.5,2.5,2.5,1.5,0.547622133241092,-1.30883732249572,-0.867148453182277,-0.606620136668184,-1.18055703267962,FALSE,0.192566239718961,-0.385132479437923
"66916",21767,46,"N","Hispanic",1,0,0,1,0,0,0,0,0,3,2,0,-2,0,0,0,0,0,0,6,50,50,1,50,0,0,1,1,0,0,-0.246119171380997,"",0,2,50,50,50,0,-2,1,0,0,0,1,0,0,50,50,50,50,9,0,0,0,-1,0,0,0,0,0,1,-3,0,50,50,50,50,50,0,0,0,0,0,0,0,0,0,"",0,1,-0.121957294642925,0,0,100,53,50,-1,0,0,0,0,-1,0,0,0,1,0,-3,0,"Trans-Equality",1,0,0.568270087242126,1,"",NA,NA,NA,0,"No",0,39,"june20_16908","june20_279",-0.214491307735443,1,-0.0504716200425246,-0.357384045124575,-0.531951868468875,-0.420100288781183,-0.0845401336505679,0.0869568771840279,-0.0213130465999309,0.0242335012548508,-0.165855956663207,2.5,1,0,-1.5,0,-0.386436396228105,-0.426040256342039,0.344390184538143,0.633712229251738,0.449569242015336,FALSE,0.0257996463464838,0.0515992926929676
"66919",42534,47,"D","African American",0,1,0,0,1,1,0,1,0,3,-1,1,-1,0,1,0,0,1,0,50,50,50,50,50,-1,3,1,0,0,2,-0.465307950973511,"",1,0,50,50,50,-1,-1,0,-1,0,-1,1,2,-1,50,50,50,50,50,-2,0,-2,-2,1,-2,-2,2,-2,1,3,2,50,50,50,50,50,-1,-1,-1,-1,1,0,-1,1,-2,"I had trouble with both the audio and video",0,1,-0.352657735347748,0,0,50,50,50,-2,-2,-2,-2,-2,1,1,-1,2,1,0,3,0,"Recycling",1,0,0.216130748391151,0,"Against",NA,NA,NA,3,"Yes",1,23,"june20_1706","june20_78",-0.465307950973511,0,-0.649367839923484,-1.02075938246217,0.124663364863802,-0.576815454092081,0.168221142251428,-0.542262323120617,-0.835823927713029,-0.264917389137696,-0.172500202300166,1,0.5,0.5,2.5,0,0.0805928685064935,-0.374804201368527,-0.582465850062305,-0.295092318826046,-1.18055703267962,FALSE,-0.101722613746064,0.203445227492127
"66923",36551,34,"N","Caucasian",0,0,1,0,1,1,0,0,0,1,2,-1,1,0,1,1,0,-1,3,100,80,80,50,91,0,0,1,1,1,2,0.97268283367157,"",3,3,100,86,77,2,1,2,2,1,2,1,3,3,100,50,80,91,90,2,1,2,2,2,1,2,2,2,1,3,3,100,0,90,50,100,2,1,2,2,2,1,2,2,2,"Yes, I could see and hear the ad",2,1,0.801054775714874,2,3,100,80,30,2,2,2,2,2,2,2,2,2,1,0,3,1,"Trans-Equality",1,0,0.331471472978592,1,"",10,10,NA,17,"No",0,35,"june20_17081","june20_316",1.19393539428711,1,1.64802945581101,1.55086766216725,1.61420415118531,1.55548899440716,0.768961643498705,1.71491217822676,1.79851818699073,1.88690113649475,1.95263991163556,1.5,3,3,3,2.5,1.01465139797569,1.93466057396269,2.19870053255029,2.18236901254362,2.71756630892552,TRUE,0.67977490844428,1.35954981688856
"66931",40932,24,"D","African American",0,1,0,0,0,1,1,1,0,-2,-2,-1,-2,-2,-2,2,-2,2,-3,100,0,0,100,100,0,0,1,1,0,3,-1.312007188797,"",-2,3,52,0,52,-2,-2,-2,-2,-2,-2,1,-3,-3,100,0,0,0,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-3,-3,100,0,0,50,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,"",0,1,-0.701585829257965,3,-3,50,0,0,-2,-2,-2,-2,-2,-2,-2,2,-2,1,1,3,1,"Trans-Equality",1,0,-6.6307687118794e-10,1,"",10,8,10,7,"No",1,45,"june20_172","june20_21",-1.312007188797,0,-1.94462914424455,-2.55243086488697,-2.2897949688016,-1.78689679951451,-1.18268805464908,-2.25798156033038,-2.12955410665174,-2.05721009511729,-1.58089618997417,-2,0.5,-3,-3,0,-1.37406380726985,-1.30883732249572,-1.17246246956776,-1.22389686690383,-1.18055703267962,TRUE,-0.96655316479975,-1.9331063295995
"66933",27669,46,"D","Caucasian",0,0,1,0,0,1,1,1,0,0,0,2,-2,-2,-2,-2,-2,2,-3,100,0,0,0,100,1,4,1,0,0,3,-1.50222265720367,"",1,2,50,50,50,-2,-2,-2,-2,-1,-2,1,2,2,50,50,50,50,100,-2,1,-2,-2,0,-1,-1,-1,0,1,2,1,78,50,50,80,93,-2,-2,-2,-2,-1,-1,-1,0,0,"Yes, I could see and hear the ad",-3,1,-0.099124513566494,0,0,81,50,50,-2,-2,-2,-2,0,-1,-2,0,0,1,0,2,0,"Trans-Equality",1,0,-0.299215346574783,1,"",NA,NA,NA,0,"Yes",0,29,"june20_17217","june20_335",-0.383815556764603,0,-1.18206753859378,-0.511681686042908,-0.626095466723574,-1.01540351447206,-2.20418503402838,-1.57691051144553,-0.784365449469882,-0.714040310066279,-0.800219122641973,0,1.5,2,1.5,0,-1.37406380726985,-1.30883732249572,-0.287467540309579,-1.22389686690383,-1.18055703267962,FALSE,0.139900249491623,0.279800498983245
"66935",68150,65,"D","African American",1,1,0,0,1,1,1,1,0,2,2,-2,-2,-2,-1,-1,-1,2,-2,100,0,0,0,100,0,4,1,1,1,3,-1.16402554512024,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Trans-Equality",1,0,-0.206767022609711,1,"",10,NA,10,30,"No",0,52,"june20_1722","june20_28",-1.16402554512024,0,NA,NA,NA,NA,-1.43216779750818,NA,NA,NA,NA,2,NA,NA,NA,NA,-1.37406380726985,NA,NA,NA,NA,TRUE,NA,NA
